,index,0
0,,1541.0
1,ayam,3.0
2,babat,2.0
3,bandeng,15.0
4,baracuda,1.0
5,barunang,1.0
6,bawal,124.0
7,bebek,2.0
8,cakalang,2.0
9,cumi,7.0
10,cumi-cumi,2.0
11,dan,23.0
12,dll,4.0
13,emas,1.0
14,etong,1.0
15,food,1.0
16,gabus,1.0
17,gembung,1.0
18,goreng,3.0
19,goreng/bakar,1.0
20,gurame,83.0
21,gurami,3.0
22,hitam,1.0
23,ikn,1.0
24,impun,1.0
25,jaer,3.0
26,jambal,1.0
27,kakap,127.0
28,kele,1.0
29,kembug,1.0
30,kembung,147.0
31,kepala,2.0
32,kepiting,5.0
33,kerang,4.0
34,kerapu,25.0
35,kerpu,1.0
36,kikil,1.0
37,krapu,1.0
38,laut,23.0
39,laut.,1.0
40,lele,642.0
41,lele.,1.0
42,lelw,1.0
43,majaer,1.0
44,man,1.0
45,mas,416.0
46,mas&mujair,1.0
47,merah,11.0
48,muajir,2.0
49,mujaer,85.0
50,mujaer/nila,1.0
51,mujair,48.0
52,mujir,1.0
53,munkar,2.0
54,nasi,2.0
55,nil,1.0
56,nila,318.0
57,nila/jaer,1.0
58,nilem,1.0
59,pari,1.0
60,parin,1.0
61,patin,48.0
62,pecel,5.0
63,peda,1.0
64,pindang,2.0
65,salam,1.0
66,salem,19.0
67,sate,1.0
68,sea,1.0
69,soto,1.0
70,sotobayam,1.0
71,tawar,4.0
72,tenggiri,1.0
73,tingkol,1.0
74,tngkol,1.0
75,tongkol,289.0
76,udang,12.0
77,uduk,2.0
78,usus,1.0
